case_id,geometry,mode,useBioheat,exportFigures,D,depth,tp,f,Npulses,w0,extra_cool,A_578,A_511,mu_eff_578,mu_eff_511,p578,p511,wb,cb,rho,Cp,k,T0,T_blood,Lx,Ly,Lz,Rmax2D,Zmax2D,dtmax_factor
s01_3d_578,3d,578,0,1,2.0e-4,4.0e-4,2.0e-4,1000,10,5.0e-4,0.2,6.0e8,5.0e8,1200,1700,0.7,0.3,0.005,3600,1100,3400,0.45,310.15,310.15,4.0e-3,4.0e-3,3.0e-3,3.0e-3,3.0e-3,0.1
s02_3d_mix,3d,578_511,0,0,2.0e-4,4.0e-4,2.0e-4,1000,10,5.0e-4,0.2,6.0e8,5.0e8,1200,1700,0.6,0.4,0.005,3600,1100,3400,0.45,310.15,310.15,4.0e-3,4.0e-3,3.0e-3,3.0e-3,3.0e-3,0.1
s03_2d_578,2d,578,0,0,1.5e-4,3.0e-4,1.5e-4,800,12,4.0e-4,0.25,5.5e8,4.5e8,1100,1600,0.7,0.3,0.005,3600,1100,3400,0.45,310.15,310.15,4.0e-3,4.0e-3,3.0e-3,2.5e-3,2.5e-3,0.1
s04_2d_mix,2d,578_511,0,0,1.5e-4,3.0e-4,1.5e-4,800,12,4.0e-4,0.25,5.5e8,4.5e8,1100,1600,0.5,0.5,0.005,3600,1100,3400,0.45,310.15,310.15,4.0e-3,4.0e-3,3.0e-3,2.5e-3,2.5e-3,0.1
